No;Code;Company Name;Listing Date;Shares;Listing Board
325;MPMX;Mitra Pinasthika Mustika Tbk.;29 May 2013;4,462,963,276;Main
326;MPPA;Matahari Putra Prima Tbk.;21 Dec 1992;12,966,640,084;Main
327;MRAT;Mustika Ratu Tbk.;27 Jul 1995;428,000,000;Development
328;MREI;Maskapai Reasuransi Indonesia ;04 Sep 1989;517,791,681;Development
329;MSKY;MNC Sky Vision Tbk.;09 Jul 2012;1,994,370,480;Development
330;MTDL;Metrodata Electronics Tbk.;09 Apr 1990;12,276,884,585;Main
331;MTFN;Capitalinc Investment Tbk.;16 Apr 1990;31,842,082,852;Watchlist
332;MTLA;Metropolitan Land Tbk.;20 Jun 2011;7,655,126,330;Main
333;MTSM;Metro Realty Tbk.;08 Jan 1992;232,848,000;Watchlist
334;MYOH;Samindo Resources Tbk.;27 Jul 2000;2,206,312,500;Main
335;MYOR;Mayora Indah Tbk.;04 Jul 1990;22,358,699,725;Main
336;MYRX;Hanson International Tbk.;31 Oct 1990;86,703,220,792;Watchlist
337;MYTX;Asia Pacific Investama Tbk.;10 Oct 1989;7,747,281,949;Watchlist
338;NELY;Pelayaran Nelly Dwi Putri Tbk.;11 Oct 2012;2,350,000,000;Development
339;NIKL;Pelat Timah Nusantara Tbk.;14 Dec 2009;2,523,350,000;Development
340;NIPS;Nipress Tbk.;24 Jul 1991;1,635,333,332;Watchlist
341;NIRO;City Retail Developments Tbk.;13 Sep 2012;22,198,871,804;Development
342;NISP;Bank OCBC NISP Tbk.;20 Oct 1994;22,715,776,032;Main
343;NOBU;Bank Nationalnobu Tbk.;20 May 2013;7,403,659,460;Development
344;NRCA;Nusa Raya Cipta Tbk.;27 Jun 2013;2,496,258,344;Development
345;OCAP;Onix Capital Tbk.;10 Oct 2003;273,200,000;Watchlist
346;OKAS;Ancora Indonesia Resources Tbk;29 Mar 2006;2,373,449,165;Development
347;OMRE;Indonesia Prima Property Tbk;22 Agt 1994;2,945,211,000;Watchlist
348;PADI;Minna Padi Investama Sekuritas;09 Jan 2012;11,307,246,524;Watchlist
349;PALM;Provident Investasi Bersama Tb;08 Oct 2012;15,773,797,158;Development
350;PANR;Panorama Sentrawisata Tbk.;18 Sep 2001;1,387,500,000;Main
351;PANS;Panin Sekuritas Tbk.;31 May 2000;720,000,000;Main
352;PBRX;Pan Brothers Tbk.;16 Agt 1990;21,482,028,246;Watchlist
353;PDES;Destinasi Tirta Nusantara Tbk;08 Jul 2008;715,000,000;Development
354;PEGE;Panca Global Kapital Tbk.;24 Jun 2005;2,833,417,056;Development
355;PGAS;Perusahaan Gas Negara Tbk.;15 Dec 2003;24,241,508,196;Main
356;PGLI;Pembangunan Graha Lestari Inda;05 Apr 2000;488,000,000;Development
357;PICO;Pelangi Indah Canindo Tbk;23 Sep 1996;568,375,000;Development
358;PJAA;Pembangunan Jaya Ancol Tbk.;02 Jul 2004;1,599,999,996;Development
359;PKPK;Perdana Karya Perkasa Tbk;11 Jul 2007;1,200,000,000;Development
360;PLAS;Polaris Investama Tbk;16 Mar 2001;1,184,200,000;Watchlist
361;PLIN;Plaza Indonesia Realty Tbk.;15 Jun 1992;3,550,000,000;Watchlist
362;PNBN;Bank Pan Indonesia Tbk;29 Dec 1982;23,837,645,998;Main
363;PNBS;Bank Panin Dubai Syariah Tbk.;15 Jan 2014;38,425,504,906;Development
364;PNIN;Paninvest Tbk.;20 Sep 1983;4,068,323,920;Main
365;PNLF;Panin Financial Tbk.;14 Jun 1983;32,022,073,293;Main
366;PNSE;Pudjiadi & Sons Tbk.;01 May 1990;797,813,496;Development
367;POLY;Asia Pacific Fibers Tbk;12 Mar 1991;2,495,753,334;Watchlist
368;POOL;Pool Advista Indonesia Tbk.;20 May 1991;2,341,366,264;Watchlist
369;PPRO;PP Properti Tbk.;19 May 2015;61,675,671,883;Watchlist
370;PRAS;Prima Alloy Steel Universal Tb;12 Jul 1990;701,043,478;Watchlist
371;PSAB;J Resources Asia Pasifik Tbk.;22 Apr 2003;26,460,000,000;Development
372;PSDN;Prasidha Aneka Niaga Tbk;18 Oct 1994;1,440,000,000;Development
373;PSKT;Red Planet Indonesia Tbk.;19 Sep 1995;10,351,231,636;Watchlist
374;PTBA;Bukit Asam Tbk.;23 Dec 2002;11,520,659,250;Main
375;PTIS;Indo Straits Tbk.;12 Jul 2011;550,165,300;Development
376;PTPP;PP (Persero) Tbk.;09 Feb 2010;6,199,897,354;Main
377;PTRO;Petrosea Tbk.;21 May 1990;10,086,050,000;Main
378;PTSN;Sat Nusapersada Tbk;08 Nov 2007;5,314,344,000;Development
379;PTSP;Pioneerindo Gourmet Internatio;30 May 1994;220,808,000;Development
380;PUDP;Pudjiadi Prestige Tbk.;18 Nov 1994;659,120,000;Main
381;PWON;Pakuwon Jati Tbk.;09 Oct 1989;48,159,602,400;Main
382;PYFA;Pyridam Farma Tbk;16 Oct 2001;11,236,683,094;Development
383;RAJA;Rukun Raharja Tbk.;19 Apr 2006;4,227,082,500;Main
384;RALS;Ramayana Lestari Sentosa Tbk.;24 Jul 1996;7,096,000,000;Main
385;RANC;Supra Boga Lestari Tbk.;07 Jun 2012;1,564,487,500;Development
386;RBMS;Ristia Bintang Mahkotasejati T;19 Dec 1997;2,656,212,826;Watchlist
387;RDTX;Roda Vivatex Tbk;14 May 1990;268,800,000;Development
388;RELI;Reliance Sekuritas Indonesia T;13 Jul 2005;1,800,000,000;Development
389;RICY;Ricky Putra Globalindo Tbk;22 Jan 1998;641,717,510;Development
390;RIGS;Rig Tenders Indonesia Tbk.;05 Mar 1990;609,130,000;Development
391;RIMO;Rimo International Lestari Tbk;10 Nov 2000;45,080,600,000;Watchlist
392;RODA;Pikko Land Development Tbk.;22 Oct 2001;13,592,128,209;Watchlist
393;ROTI;Nippon Indosari Corpindo Tbk.;28 Jun 2010;6,186,488,888;Development
394;RUIS;Radiant Utama Interinsco Tbk.;12 Jul 2006;770,000,000;Development
395;SAFE;Steady Safe Tbk;15 Agt 1994;615,145,012;Development
396;SAME;Sarana Meditama Metropolitan T;11 Jan 2013;17,147,132,545;Main
397;SCCO;Supreme Cable Manufacturing & ;20 Jul 1982;822,333,600;Development
398;SCMA;Surya Citra Media Tbk.;16 Jul 2002;73,970,569,505;Main
399;SCPI;Organon Pharma Indonesia Tbk.;08 Jun 1990;3,600,000;Watchlist
400;SDMU;Sidomulyo Selaras Tbk.;12 Jul 2011;1,135,225,000;Watchlist
401;SDPC;Millennium Pharmacon Internati;07 May 1990;1,274,000,000;Development
402;SDRA;Bank Woori Saudara Indonesia 1;15 Dec 2006;14,545,267,990;Main
403;SGRO;Sampoerna Agro Tbk.;18 Jun 2007;1,818,622,000;Main
404;SHID;Hotel Sahid Jaya International;08 May 1990;1,119,326,168;Development
405;SIDO;Industri Jamu dan Farmasi Sido;18 Dec 2013;30,000,000,000;Main
406;SILO;Siloam International Hospitals;12 Sep 2013;13,006,125,000;Main
407;SIMA;Siwani Makmur Tbk;03 Jun 1994;442,589,871;Watchlist
408;SIMP;Salim Ivomas Pratama Tbk.;09 Jun 2011;15,501,310,000;Main
409;SIPD;Sreeya Sewu Indonesia Tbk.;27 Dec 1996;1,839,102,056;Development
410;SKBM;Sekar Bumi Tbk.;28 Sep 2012;1,730,103,217;Development
411;SKLT;Sekar Laut Tbk.;08 Sep 1993;6,907,405,000;Development
412;SKYB;Northcliff Citranusa Indonesia;07 Jul 2010;585,000,000;Watchlist
413;SMAR;Smart Tbk.;20 Nov 1992;2,872,193,366;Development
414;SMBR;Semen Baturaja Tbk.;28 Jun 2013;9,932,534,336;Main
415;SMCB;Solusi Bangun Indonesia Tbk.;10 Agt 1977;9,019,381,973;Watchlist
416;SMDM;Suryamas Dutamakmur Tbk.;12 Oct 1995;4,772,138,237;Watchlist
417;SMDR;Samudera Indonesia  Tbk.;05 Jul 1999;16,375,600,000;Main
418;SMGR;Semen Indonesia (Persero) Tbk.;08 Jul 1991;6,751,540,089;Main
419;SMMA;Sinarmas Multiartha Tbk.;05 Jul 1995;6,367,664,717;Main
420;SMMT;Golden Eagle Energy Tbk.;01 Dec 1997;3,150,000,000;Watchlist
421;SMRA;Summarecon Agung Tbk.;07 May 1990;16,508,568,358;Main
422;SMRU;SMR Utama Tbk.;10 Oct 2011;12,499,385,782;Watchlist
423;SMSM;Selamat Sempurna Tbk.;09 Sep 1996;5,758,675,440;Main
424;SOCI;Soechi Lines Tbk.;03 Dec 2014;7,059,000,000;Main
425;SONA;Sona Topas Tourism Industry Tb;21 Jul 1992;662,400,000;Development
426;SPMA;Suparma Tbk.;16 Nov 1994;3,154,092,216;Development
427;SQMI;Wilton Makmur Indonesia Tbk.;15 Jul 2004;15,537,591,429;Watchlist
428;SRAJ;Sejahteraraya Anugrahjaya Tbk.;11 Apr 2011;12,238,959,990;Main
429;SRIL;Sri Rejeki Isman Tbk.;17 Jun 2013;20,452,176,844;Watchlist
430;SRSN;Indo Acidatama Tbk;11 Jan 1993;6,020,000,000;Development
431;SRTG;Saratoga Investama Sedaya Tbk.;26 Jun 2013;13,564,835,000;Main
432;SSIA;Surya Semesta Internusa Tbk.;27 Mar 1997;4,705,249,440;Main
433;SSMS;Sawit Sumbermas Sarana Tbk.;12 Dec 2013;9,525,000,000;Main
434;SSTM;Sunson Textile Manufacture Tbk;20 Agt 1997;1,170,909,181;Development
435;STAR;Buana Artha Anugerah Tbk.;13 Jul 2011;4,800,000,602;Watchlist
436;STTP;Siantar Top Tbk.;16 Dec 1996;1,310,000,000;Development
437;SUGI;Sugih Energy Tbk.;19 Jun 2002;24,811,541,414;Watchlist
438;SULI;SLJ Global Tbk.;21 Mar 1994;6,320,776,836;Development
439;SUPR;Solusi Tunas Pratama Tbk.;11 Oct 2011;1,137,579,698;Watchlist
440;TALF;Tunas Alfin Tbk.;17 Jan 2014;1,353,435,000;Development
441;TARA;Agung Semesta Sejahtera Tbk.;11 Jul 2014;10,069,645,750;Watchlist
442;TAXI;Express Transindo Utama Tbk.;02 Nov 2012;10,223,647,156;Watchlist
443;TBIG;Tower Bersama Infrastructure T;26 Oct 2010;22,656,999,445;Main
444;TBLA;Tunas Baru Lampung Tbk.;14 Feb 2000;6,025,373,372;Main
445;TBMS;Tembaga Mulia Semanan Tbk.;23 May 1990;734,680,000;Development
446;TCID;Mandom Indonesia Tbk.;30 Sep 1993;402,133,334;Development
447;TELE;Omni Inovasi Indonesia Tbk.;12 Jan 2012;7,310,929,389;Watchlist
448;TFCO;Tifico Fiber Indonesia Tbk.;26 Feb 1980;4,823,076,400;Watchlist
449;TGKA;Tigaraksa Satria Tbk.;11 Jun 1990;918,492,750;Development
450;TIFA;KDB Tifa Finance Tbk.;08 Jul 2011;3,552,213,000;Watchlist
451;TINS;Timah Tbk.;19 Oct 1995;7,447,753,454;Main
452;TIRA;Tira Austenite Tbk;27 Jul 1993;588,000,000;Development
453;TIRT;Tirta Mahakam Resources Tbk;13 Dec 1999;1,011,774,750;Watchlist
454;TKIM;Pabrik Kertas Tjiwi Kimia Tbk.;03 Apr 1990;3,113,223,570;Main
455;TLKM;Telkom Indonesia (Persero) Tbk;14 Nov 1995;99,062,216,600;Main
456;TMAS;Temas Tbk.;09 Jul 2003;57,051,500,000;Main
457;TMPO;Tempo Intimedia Tbk.;08 Jan 2001;1,058,333,250;Development
458;TOBA;TBS Energi Utama Tbk.;06 Jul 2012;8,167,826,970;Main
459;TOTL;Total Bangun Persada Tbk.;25 Jul 2006;3,410,000,000;Main
460;TOTO;Surya Toto Indonesia Tbk.;30 Oct 1990;10,320,000,000;Development
461;TOWR;Sarana Menara Nusantara Tbk.;08 Mar 2010;51,014,625,000;Main
462;TPIA;Chandra Asri Pacific Tbk.;26 May 2008;86,511,545,092;Development
463;TPMA;Trans Power Marine Tbk.;20 Feb 2013;3,507,420,034;Main
464;TRAM;Trada Alam Minera Tbk.;10 Sep 2008;49,643,627,934;Watchlist
465;TRIL;Triwira Insanlestari Tbk.;28 Jan 2008;1,200,000,000;Watchlist
466;TRIM;Trimegah Sekuritas Indonesia T;31 Jan 2000;7,109,300,000;Main
467;TRIO;Trikomsel Oke Tbk.;14 Apr 2009;26,007,494,645;Watchlist
468;TRIS;Trisula International Tbk.;28 Jun 2012;3,141,443,831;Development
469;TRST;Trias Sentosa Tbk.;02 Jul 1990;2,808,000,000;Development
470;TRUS;Trust Finance Indonesia Tbk;28 Nov 2002;800,000,000;Development
471;TSPC;Tempo Scan Pacific Tbk.;17 Jun 1994;4,509,864,300;Main
472;ULTJ;Ultrajaya Milk Industry & Trad;02 Jul 1990;11,553,528,000;Main
473;UNIC;Unggul Indah Cahaya Tbk.;06 Nov 1989;383,331,363;Main
474;UNIT;Nusantara Inti Corpora Tbk;18 Apr 2002;75,422,200;Development
475;UNSP;Bakrie Sumatera Plantations Tb;06 Mar 1990;2,500,162,344;Watchlist
476;UNTR;United Tractors Tbk.;19 Sep 1989;3,730,135,136;Main
477;UNVR;Unilever Indonesia Tbk.;11 Jan 1982;38,150,000,000;Main
478;VICO;Victoria Investama Tbk.;08 Jul 2013;15,217,075,658;Development
479;VINS;Victoria Insurance Tbk.;28 Sep 2015;1,460,573,616;Development
480;VIVA;Visi Media Asia Tbk.;21 Nov 2011;16,464,270,400;Watchlist
481;VOKS;Voksel Electric Tbk.;20 Dec 1990;4,155,602,595;Development
482;VRNA;Mizuho Leasing Indonesia Tbk.;25 Jun 2008;5,687,353,997;Development
483;WAPO;Wahana Pronatural Tbk.;22 Jun 2001;1,240,923,111;Development
484;WEHA;WEHA Transportasi Indonesia Tb;31 May 2007;1,460,554,819;Development
485;WICO;Wicaksana Overseas Internation;08 Agt 1994;2,393,710,348;Watchlist
486;WIIM;Wismilak Inti Makmur Tbk.;18 Dec 2012;2,099,873,760;Main
487;WIKA;Wijaya Karya (Persero) Tbk.;29 Oct 2007;39,873,063,858;Development
488;WINS;Wintermar Offshore Marine Tbk.;29 Nov 2010;4,364,837,057;Main
489;WOMF;Wahana Ottomitra Multiartha Tb;13 Dec 2004;3,481,481,480;Development
490;WSKT;Waskita Karya (Persero) Tbk.;19 Dec 2012;28,806,807,016;Watchlist
491;WTON;Wijaya Karya Beton Tbk.;08 Apr 2014;8,715,466,600;Main
492;YPAS;Yanaprima Hastapersada Tbk;05 Mar 2008;668,000,089;Watchlist
493;YULE;Yulie Sekuritas Indonesia Tbk.;10 Dec 2004;1,785,000,000;Development
494;ZBRA;Dosni Roha Indonesia Tbk.;01 Agt 1991;2,510,706,263;Development
495;SHIP;Sillo Maritime Perdana Tbk.;16 Jun 2016;2,719,790,000;Main
496;CASA;Capital Financial Indonesia Tb;19 Jul 2016;54,476,269,803;Development
497;DAYA;Duta Intidaya Tbk.;28 Jun 2016;2,420,547,025;Development
498;DPUM;Dua Putra Utama Makmur Tbk.;08 Dec 2015;4,175,000,000;Development
499;IDPR;Indonesia Pondasi Raya Tbk.;10 Dec 2015;2,003,000,000;Development
500;JGLE;Graha Andrasentra Propertindo ;29 Jun 2016;22,581,909,405;Watchlist
501;KINO;Kino Indonesia Tbk.;11 Dec 2015;1,428,571,500;Development
502;MARI;Mahaka Radio Integra Tbk.;11 Feb 2016;5,252,644,000;Development
503;MKNT;Mitra Komunikasi Nusantara Tbk;26 Oct 2015;5,500,000,000;Watchlist
504;MTRA;Mitra Pemuda Tbk.;10 Feb 2016;770,000,000;Watchlist
505;OASA;Maharaksa Biru Energi Tbk.;18 Jul 2016;6,347,220,000;Development
506;POWR;Cikarang Listrindo Tbk.;14 Jun 2016;16,087,156,000;Main
507;INCF;Indo Komoditi Korpora Tbk.;06 Sep 2016;1,438,370,465;Watchlist
508;WSBP;Waskita Beton Precast Tbk.;20 Sep 2016;55,085,048,699;Watchlist
509;PBSA;Paramita Bangun Sarana Tbk.;28 Sep 2016;3,000,000,000;Development
510;PRDA;Prodia Widyahusada Tbk.;07 Dec 2016;937,500,000;Main
511;BOGA;Bintang Oto Global Tbk.;19 Dec 2016;3,803,526,210;Development
512;BRIS;Bank Syariah Indonesia Tbk.;09 May 2018;45,667,877,639;Main
513;PORT;Nusantara Pelabuhan Handal Tbk;16 Mar 2017;2,813,941,985;Development
514;CARS;Industri dan Perdagangan Bintr;10 Apr 2017;15,000,000,000;Main
515;MINA;Sanurhasta Mitra Tbk.;28 Apr 2017;6,562,500,000;Watchlist
516;FORZ;Forza Land Indonesia Tbk.;28 Apr 2017;1,984,009,887;Watchlist
517;CLEO;Sariguna Primatirta Tbk.;05 May 2017;12,000,000,000;Main
518;TAMU;Pelayaran Tamarin Samudra Tbk.;10 May 2017;37,500,000,000;Watchlist
519;CSIS;Cahayasakti Investindo Sukses ;10 May 2017;1,307,000,000;Development
520;TGRA;Terregra Asia Energy Tbk.;16 May 2017;2,750,000,000;Watchlist
521;FIRE;Alfa Energi Investama Tbk.;09 Jun 2017;1,475,363,179;Development
522;TOPS;Totalindo Eka Persada Tbk.;16 Jun 2017;33,330,000,000;Watchlist
523;KMTR;Kirana Megatara Tbk.;19 Jun 2017;8,215,366,379;Development
524;ARMY;Armidian Karyatama Tbk.;21 Jun 2017;9,006,250,000;Watchlist
525;MAPB;MAP Boga Adiperkasa Tbk.;21 Jun 2017;2,387,922,900;Watchlist
526;WOOD;Integra Indocabinet Tbk.;21 Jun 2017;6,437,500,000;Main
527;HRTA;Hartadinata Abadi Tbk.;21 Jun 2017;4,605,262,400;Main
528;MABA;Marga Abhinaya Abadi Tbk.;22 Jun 2017;15,365,229,912;Watchlist
529;HOKI;Buyung Poetra Sembada Tbk.;22 Jun 2017;9,677,752,680;Main
530;MPOW;Megapower Makmur Tbk.;05 Jul 2017;816,997,053;Development
531;MARK;Mark Dynamics Indonesia Tbk.;12 Jul 2017;3,800,000,310;Main
532;NASA;Andalan Perkasa Abadi Tbk.;07 Agt 2017;11,004,929,322;Watchlist
533;MDKI;Emdeki Utama Tbk.;25 Sep 2017;2,530,150,002;Development
534;BELL;Trisula Textile Industries Tbk;03 Oct 2017;7,250,000,000;Watchlist
535;KIOS;Kioson Komersial Indonesia Tbk;05 Oct 2017;1,075,862,960;Development
536;GMFI;Garuda Maintenance Facility Ae;10 Oct 2017;37,565,978,976;Watchlist
537;MTWI;Malacca Trust Wuwungan Insuran;12 Oct 2017;2,924,486,639;Development
538;ZINC;Kapuas Prima Coal Tbk.;16 Oct 2017;25,250,000,000;Watchlist
539;MCAS;M Cash Integrasi Tbk.;01 Nov 2017;867,933,300;Main
540;PPRE;PP Presisi Tbk.;24 Nov 2017;10,224,271,000;Development
541;WEGE;Wijaya Karya Bangunan Gedung T;30 Nov 2017;9,572,000,000;Main
542;PSSI;IMC Pelita Logistik Tbk.;05 Dec 2017;5,417,063,153;Main
543;MORA;Mora Telematika Indonesia Tbk.;08 Agt 2022;23,646,668,691;Main
544;DWGL;Dwi Guna Laksana Tbk.;13 Dec 2017;9,252,820,991;Development
545;PBID;Panca Budi Idaman Tbk.;13 Dec 2017;7,500,000,000;Main
546;JMAS;Asuransi Jiwa Syariah Jasa Mit;18 Dec 2017;1,000,000,000;Development
547;CAMP;Campina Ice Cream Industry Tbk;19 Dec 2017;5,885,000,000;Development
548;IPCM;Jasa Armada Indonesia Tbk.;22 Dec 2017;5,284,811,100;Development
549;PCAR;Prima Cakrawala Abadi Tbk.;29 Dec 2017;1,166,666,700;Development
550;LCKM;LCK Global Kedaton Tbk.;16 Jan 2018;1,000,000,000;Development
551;BOSS;Borneo Olah Sarana Sukses Tbk.;15 Feb 2018;1,400,000,000;Watchlist
552;HELI;Jaya Trishindo Tbk.;27 Mar 2018;832,862,387;Development
553;JSKY;Sky Energy Indonesia Tbk.;28 Mar 2018;2,032,540,000;Watchlist
554;INPS;Indah Prakasa Sentosa Tbk.;06 Apr 2018;650,000,000;Development
555;GHON;Gihon Telekomunikasi Indonesia;09 Apr 2018;550,000,000;Development
556;TDPM;Tianrong Chemicals Industry Tb;09 Apr 2018;10,485,050,500;Watchlist
557;DFAM;Dafam Property Indonesia Tbk.;27 Apr 2018;1,899,852,850;Development
558;NICK;Charnic Capital Tbk.;02 May 2018;651,150,000;Development
559;BTPS;Bank BTPN Syariah Tbk.;08 May 2018;7,626,663,000;Main
560;SPTO;Surya Pertiwi Tbk.;14 May 2018;2,700,000,000;Main
561;PRIM;Royal Prima Tbk.;15 May 2018;3,393,434,905;Development
562;HEAL;Medikaloka Hermina Tbk.;16 May 2018;15,365,950,000;Main
563;TRUK;Guna Timur Raya Tbk.;23 May 2018;435,000,000;Development
564;PZZA;Sarimelati Kencana Tbk.;23 May 2018;3,021,875,000;Development
565;TUGU;Asuransi Tugu Pratama Indonesi;28 May 2018;3,555,575,600;Main
566;MSIN;MNC Digital Entertainment Tbk.;08 Jun 2018;60,676,178,205;Main
567;SWAT;Sriwahana Adityakarta Tbk.;08 Jun 2018;3,019,200,000;Watchlist
568;KPAL;Steadfast Marine Tbk.;08 Jun 2018;1,069,009,400;Watchlist
569;TNCA;Trimuda Nuansa Citra Tbk.;28 Jun 2018;421,640,000;Development
570;MAPA;Map Aktif Adiperkasa Tbk.;05 Jul 2018;28,504,000,000;Main
571;TCPI;Transcoal Pacific Tbk.;06 Jul 2018;5,000,000,000;Development
572;IPCC;Indonesia Kendaraan Terminal T;09 Jul 2018;1,818,384,820;Main
573;RISE;Jaya Sukses Makmur Sentosa Tbk;09 Jul 2018;10,945,000,000;Development
574;BPTR;Batavia Prosperindo Trans Tbk.;09 Jul 2018;3,534,000,000;Development
575;POLL;Pollux Properties Indonesia Tb;11 Jul 2018;8,318,823,600;Watchlist
576;NFCX;NFC Indonesia Tbk.;12 Jul 2018;666,667,500;Development
577;MGRO;Mahkota Group Tbk.;12 Jul 2018;3,554,445,700;Development
578;NUSA;Sinergi Megah Internusa Tbk.;12 Jul 2018;7,700,000,148;Watchlist
579;FILM;MD Entertainment Tbk.;07 Agt 2018;9,897,787,962;Main
580;ANDI;Andira Agro Tbk.;16 Agt 2018;9,350,000,000;Watchlist
581;LAND;Trimitra Propertindo Tbk.;23 Agt 2018;2,792,620,000;Watchlist
582;MOLI;Madusari Murni Indah Tbk.;30 Agt 2018;2,724,036,581;Development
583;PANI;Pantai Indah Kapuk Dua Tbk.;18 Sep 2018;16,883,595,500;Development
584;DIGI;Arkadia Digital Media Tbk.;18 Sep 2018;1,625,000,000;Watchlist
585;CITY;Natura City Developments Tbk.;28 Sep 2018;5,405,188,966;Development
586;SAPX;Satria Antaran Prima Tbk.;03 Oct 2018;833,333,300;Development
587;KPAS;Cottonindo Ariesta Tbk.;05 Oct 2018;768,043,253;Watchlist
588;SURE;Super Energy Tbk.;05 Oct 2018;1,497,576,771;Development
589;HKMU;HK Metals Utama Tbk.;09 Oct 2018;3,221,750,000;Watchlist
590;MPRO;Maha Properti Indonesia Tbk.;09 Oct 2018;9,942,500,000;Development
591;DUCK;Jaya Bersama Indo Tbk.;10 Oct 2018;1,283,330,000;Watchlist
592;GOOD;Garudafood Putra Putri Jaya Tb;10 Oct 2018;36,897,901,455;Main
593;SKRN;Superkrane Mitra Utama Tbk.;11 Oct 2018;7,500,000,000;Development
594;YELO;Yelooo Integra Datanet Tbk.;29 Oct 2018;1,912,774,405;Watchlist
595;CAKK;Cahayaputra Asa Keramik Tbk.;31 Oct 2018;1,203,300,219;Development
596;SATU;Kota Satu Properti Tbk.;05 Nov 2018;1,375,000,000;Development
597;ZONE;Mega Perintis Tbk.;12 Dec 2018;870,171,478;Development
598;PEHA;Phapros Tbk.;26 Dec 2018;840,000,000;Development
599;FOOD;Sentra Food Indonesia Tbk.;08 Jan 2019;650,000,000;Development
600;BEEF;Estika Tata Tiara Tbk.;10 Jan 2019;7,186,061,591;Development
601;POLI;Pollux Hotels Group Tbk.;10 Jan 2019;2,010,526,400;Watchlist
602;CLAY;Citra Putra Realty Tbk.;18 Jan 2019;2,570,000,000;Development
603;NATO;Surya Permata Andalan Tbk.;18 Jan 2019;8,001,111,504;Development
604;JAYA;Armada Berjaya Trans Tbk.;21 Feb 2019;798,499,394;Development
605;COCO;Wahana Interfood Nusantara Tbk;20 Mar 2019;889,863,981;Development
606;MTPS;Meta Epsi Tbk.;10 Apr 2019;2,084,850,829;Watchlist
607;CPRI;Capri Nusa Satu Properti Tbk.;11 Apr 2019;2,433,379,958;Watchlist
608;HRME;Menteng Heritage Realty Tbk.;12 Apr 2019;5,958,750,000;Watchlist
609;POSA;Bliss Properti Indonesia Tbk.;10 May 2019;8,388,870,206;Watchlist
610;JAST;Jasnita Telekomindo Tbk.;16 May 2019;1,082,575,738;Development
611;FITT;Hotel Fitra International Tbk.;11 Jun 2019;1,304,272,051;Development
612;BOLA;Bali Bintang Sejahtera Tbk.;17 Jun 2019;6,000,000,000;Main
613;CCSI;Communication Cable Systems In;18 Jun 2019;1,319,038,405;Development
614;SFAN;Surya Fajar Capital Tbk.;19 Jun 2019;1,359,934,021;Development
615;POLU;Golden Flower Tbk.;26 Jun 2019;750,000,000;Development
616;KJEN;Krida Jaringan Nusantara Tbk.;01 Jul 2019;500,000,000;Development
617;KAYU;Darmi Bersaudara Tbk.;04 Jul 2019;665,000,000;Watchlist
618;ITIC;Indonesian Tobacco Tbk.;04 Jul 2019;940,720,000;Development
619;PAMG;Bima Sakti Pertiwi Tbk.;05 Jul 2019;3,125,000,000;Development
620;IPTV;MNC Vision Networks Tbk.;08 Jul 2019;42,197,950,841;Watchlist
621;BLUE;Berkah Prima Perkasa Tbk.;08 Jul 2019;418,000,000;Development
622;ENVY;Envy Technologies Indonesia Tb;08 Jul 2019;1,800,000,000;Watchlist
623;EAST;Eastparc Hotel Tbk.;09 Jul 2019;4,126,405,336;Development
624;LIFE;MSIG Life Insurance Indonesia ;09 Jul 2019;2,100,000,000;Development
625;FUJI;Fuji Finance Indonesia Tbk.;09 Jul 2019;1,300,000,000;Development
626;KOTA;DMS Propertindo Tbk.;09 Jul 2019;10,546,185,701;Watchlist
627;INOV;Inocycle Technology Group Tbk.;10 Jul 2019;1,808,221,900;Development
628;ARKA;Arkha Jayanti Persada Tbk.;10 Jul 2019;2,000,000,000;Watchlist
629;SMKL;Satyamitra Kemas Lestari Tbk.;11 Jul 2019;3,418,085,290;Development
630;HDIT;Hensel Davest Indonesia Tbk.;12 Jul 2019;1,524,680,000;Watchlist
631;KEEN;Kencana Energi Lestari Tbk.;02 Sep 2019;3,666,312,500;Main
632;BAPI;Bhakti Agung Propertindo Tbk.;16 Sep 2019;5,591,980,103;Watchlist
633;TFAS;Telefast Indonesia Tbk.;17 Sep 2019;1,666,666,500;Development
634;GGRP;Gunung Raja Paksi Tbk.;19 Sep 2019;12,111,376,157;Watchlist
635;OPMS;Optima Prima Metal Sinergi Tbk;23 Sep 2019;1,000,000,000;Development
636;NZIA;Nusantara Almazia Tbk.;25 Sep 2019;2,197,540,705;Development
637;SLIS;Gaya Abadi Sempurna Tbk.;07 Oct 2019;2,463,336,675;Development
638;PURE;Trinitan Metals and Minerals T;09 Oct 2019;1,375,181,505;Watchlist
639;IRRA;Itama Ranoraya Tbk.;15 Oct 2019;1,600,000,000;Development
640;DMMX;Digital Mediatama Maxima Tbk.;21 Oct 2019;7,692,307,700;Development
641;SINI;Singaraja Putra Tbk.;08 Nov 2019;481,000,000;Watchlist
642;WOWS;Ginting Jaya Energi Tbk.;08 Nov 2019;2,475,720,000;Watchlist
643;ESIP;Sinergi Inti Plastindo Tbk.;14 Nov 2019;1,109,953,847;Watchlist
644;TEBE;Dana Brata Luhur Tbk.;18 Nov 2019;1,285,000,000;Main
645;KEJU;Mulia Boga Raya Tbk.;25 Nov 2019;5,624,999,999;Development
646;PSGO;Palma Serasih Tbk.;25 Nov 2019;18,850,000,000;Main
