No;Code;Company Name;Listing Date;Shares;Listing Board
75;BEKS;Bank Pembangunan Daerah Banten;13 Jul 2001;51,351,733,883;Watchlist
76;BEST;Bekasi Fajar Industrial Estate;10 Apr 2012;9,647,311,150;Main
77;BFIN;BFI Finance  Indonesia Tbk.;16 May 1990;15,967,115,620;Main
78;BGTG;Bank Ganesha Tbk.;12 May 2016;23,731,287,132;Development
79;BHIT;MNC Asia Holding Tbk.;24 Nov 1997;86,068,156,705;Watchlist
80;BIKA;Binakarya Jaya Abadi Tbk.;14 Jul 2015;592,280,000;Watchlist
81;BIMA;Primarindo Asia Infrastructure;30 Agt 1994;608,175,716;Development
82;BINA;Bank Ina Perdana Tbk.;16 Jan 2014;6,073,369,498;Main
83;BIPI;Astrindo Nusantara Infrastrukt;11 Feb 2010;63,710,196,917;Development
84;BIPP;Bhuwanatala Indah Permai Tbk.;23 Oct 1995;5,028,669,376;Watchlist
85;BIRD;Blue Bird Tbk.;05 Nov 2014;2,502,100,000;Main
86;BISI;BISI International Tbk.;28 May 2007;3,000,000,000;Main
87;BJBR;Bank Pembangunan Daerah Jawa B;08 Jul 2010;10,416,229,249;Main
88;BJTM;Bank Pembangunan Daerah Jawa T;12 Jul 2012;14,865,343,101;Main
89;BKDP;Bukit Darmo Property Tbk;15 Jun 2007;7,513,992,252;Watchlist
90;BKSL;Sentul City Tbk.;28 Jul 1997;167,708,902,705;Main
91;BKSW;Bank QNB Indonesia Tbk.;21 Nov 2002;34,806,467,881;Development
92;BLTA;Berlian Laju Tanker Tbk;26 Mar 1990;25,940,187,103;Watchlist
93;BLTZ;Graha Layar Prima Tbk.;10 Apr 2014;873,937,142;Watchlist
94;BMAS;Bank Maspion Indonesia Tbk.;11 Jul 2013;17,921,635,680;Watchlist
95;BMRI;Bank Mandiri (Persero) Tbk.;14 Jul 2003;92,399,999,996;Main
96;BMSR;Bintang Mitra Semestaraya Tbk;29 Dec 1999;1,159,200,024;Development
97;BMTR;Global Mediacom Tbk.;17 Jul 1995;16,583,997,586;Main
98;BNBA;Bank Bumi Arta Tbk.;01 Jun 2006;3,354,120,000;Development
99;BNBR;Bakrie & Brothers Tbk;28 Agt 1989;173,416,832,509;Watchlist
100;BNGA;Bank CIMB Niaga Tbk.;29 Nov 1989;24,890,783,784;Main
101;BNII;Bank Maybank Indonesia Tbk.;21 Nov 1989;75,357,433,911;Main
102;BNLI;Bank Permata Tbk.;15 Jan 1990;35,819,545,925;Development
103;BOLT;Garuda Metalindo Tbk.;07 Jul 2015;2,343,750,000;Development
104;BPFI;Woori Finance Indonesia Tbk.;01 Jun 2009;2,673,995,362;Development
105;BPII;Batavia Prosperindo Internasio;08 Jul 2014;10,309,973,240;Development
106;BRAM;Indo Kordsa Tbk.;05 Sep 1990;450,056,980;Development
107;BRMS;Bumi Resources Minerals Tbk.;09 Dec 2010;141,784,040,338;Main
108;BRNA;Berlina Tbk.;06 Nov 1989;979,110,000;Development
109;BRPT;Barito Pacific Tbk.;01 Oct 1993;93,747,218,044;Main
110;BSDE;Bumi Serpong Damai Tbk.;06 Jun 2008;21,171,365,812;Main
111;BSIM;Bank Sinarmas Tbk.;13 Dec 2010;19,517,921,842;Main
112;BSSR;Baramulti Suksessarana Tbk.;08 Nov 2012;2,616,500,000;Development
113;BSWD;Bank Of India Indonesia Tbk.;01 May 2002;3,651,978,177;Development
114;BTEK;Bumi Teknokultura Unggul Tbk;14 May 2004;46,277,496,376;Watchlist
115;BTEL;Bakrie Telecom Tbk.;03 Feb 2006;36,822,665,755;Watchlist
116;BTON;Betonjaya Manunggal Tbk.;18 Jul 2001;720,000,000;Watchlist
117;BTPN;Bank SMBC Indonesia Tbk.;12 Mar 2008;10,536,203,690;Main
118;BUDI;Budi Starch & Sweetener Tbk.;08 May 1995;4,498,997,362;Main
119;BUKK;Bukaka Teknik Utama Tbk.;29 Jun 2015;2,640,452,000;Development
120;BULL;Buana Lintas Lautan Tbk.;23 May 2011;14,117,801,449;Development
121;BUMI;Bumi Resources Tbk.;30 Jul 1990;371,335,392,068;Main
122;BUVA;Bukit Uluwatu Villa Tbk.;12 Jul 2010;20,590,473,213;Development
123;BVIC;Bank Victoria International Tb;30 Jun 1999;15,690,056,623;Main
